event_date,f1name,f2name,f1result,f2result,method,method_d,round,time
7/26/14,Bobby Green,Josh Thomson,win,loss,Decision,Split,3,5:00
2/23/01,Bobby Hoffman,Mark Robinson,NC,NC,No Contest - Hoffman Failed Drug Test,,1,3:27
7/19/08,Brad Blackburn,James Giboo,win,loss,TKO,Flying Knee and Punches,2,2:29
12/27/08,Brad Blackburn,Ryo Chonan,win,loss,Decision,Unanimous,3,5:00
6/20/09,Brad Blackburn,Edgar Garcia,win,loss,Decision,Split,3,5:00
9/22/00,Brad Gumm,CJ Fernandes,draw,draw,Draw,,2,5:00
9/24/99,Brad Kohler,Steve Judson,win,loss,KO,Punch,1,0:30
4/14/12,Brad Pickett,Damacio Page,win,loss,Submission,Rear-Naked Choke,2,4:05
9/29/12,Brad Pickett,Yves Jabouin,win,loss,KO,Punch,1,3:40
4/6/13,Brad Pickett,Mike Easton,win,loss,Decision,Split,3,5:00
3/8/14,Brad Pickett,Neil Seery,win,loss,Decision,Unanimous,3,5:00
6/19/10,Brad Tavares,Seth Baczynski,win,loss,Decision,Unanimous,3,5:00
1/1/11,Brad Tavares,Phil Baroni,win,loss,KO,Knees and Punches,1,4:20
5/15/12,Brad Tavares,Dongi Yang,win,loss,Decision,Unanimous,3,5:00
9/29/12,Brad Tavares,Tom Watson,win,loss,Decision,Split,3,5:00
3/3/13,Brad Tavares,Riki Fukuda,win,loss,Decision,Unanimous,3,5:00
8/28/13,Brad Tavares,Bubba McDaniel,win,loss,Decision,Unanimous,3,5:00
1/15/14,Brad Tavares,Lorenz Larkin,win,loss,Decision,Unanimous,3,5:00
